Time(sentisec);X_A(m);Y_A(m);X_L(m);Y_L(m);X_C(m);Y_C(m);X_D(m);Y_D(m);X_F(m);Y_F(m);X_G(m);Y_G(m);X_H(m);Y_H(m);X_I(m);Y_I(m);X_J(m);Y_J(m);X_K(m);Y_K(m)
1780420.0;9091.9869;14025.7312;9089.9867;14026.1588;9094.5044;14022.2909;9092.9091;14024.3358;9085.3974;14040.7886;9092.8245;14022.9904;9092.1762;14023.3815;9093.6825;14022.4776;9091.989;14025.2494;9092.436;14021.4308
1780440.0;9092.0457;14025.4234;9090.1894;14026.1191;9094.4632;14022.3654;9093.0128;14024.2473;9085.3552;14040.8765;9092.7413;14022.9916;9092.2578;14023.349;9093.6945;14022.4892;9091.9129;14025.3357;9092.4395;14021.4775
1780460.0;9092.1185;14025.0799;9090.3909;14026.0634;9094.3969;14022.437;9093.116;14024.1558;9085.3113;14040.9688;9092.6704;14022.9713;9092.3456;14023.312;9093.7142;14022.4926;9091.8367;14025.4218;9092.4495;14021.5241
1780480.0;9092.2094;14024.7976;9090.5744;14025.9909;9094.3014;14022.489;9093.2058;14024.0723;9085.2741;14041.0561;9092.6197;14022.9182;9092.4284;14023.2794;9093.7412;14022.4888;9091.7605;14025.5078;9092.4583;14021.5699
1780500.0;9092.3173;14024.6372;9090.7215;14025.8997;9094.181;14022.4928;9093.2783;14024.0036;9085.2546;14041.1251;9092.592;14022.8342;9092.5001;14023.2569;9093.7729;14022.4756;9091.6844;14025.5939;9092.4566;14021.6149
1780520.0;9092.4292;14024.5971;9090.8253;14025.7906;9094.0461;14022.4261;9093.3369;14023.9501;9085.2582;14041.1662;9092.5859;14022.7333;9092.5592;14023.2449;9093.8067;14022.4481;9091.6082;14025.6799;9092.4378;14021.6583
1780540.0;9092.5264;14024.6356;9090.8962;14025.6709;9093.9114;14022.2928;9093.3869;14023.9093;9085.2829;14041.177;9092.5951;14022.6361;9092.6053;14023.2403;9093.8405;14022.4034;9091.532;14025.7659;9092.4015;14021.6964
1780560.0;9092.5978;14024.7057;9090.9586;14025.5527;9093.7916;14022.1269;9093.4311;14023.8784;9085.3226;14041.1592;9092.6083;14022.5615;9092.6383;14023.2403;9093.8713;14022.344;9091.4558;14025.852;9092.3534;14021.725
1780580.0;9092.6445;14024.777;9091.0432;14025.4471;9093.6927;14021.9744;9093.4695;14023.86;9085.3725;14041.1162;9092.6141;14022.52;9092.6605;14023.2453;9093.8948;14022.2787;9091.3797;14025.938;9092.3017;14021.7424
1780600.0;9092.679;14024.8326;9091.1735;14025.3593;9093.6075;14021.8682;9093.5005;14023.861;9085.4288;14041.0525;9092.607;14022.5098;9092.6779;14023.259;9093.9071;14022.2193;9091.3035;14026.024;9092.2547;14021.7509
1780620.0;9092.7144;14024.8621;9091.3495;14025.2918;9093.519;14021.8163;9093.5195;14023.8888;9085.4884;14040.9752;9092.59;14022.522;9092.6971;14023.2864;9093.9039;14022.1746;9091.2273;14026.1101;9092.2187;14021.7542
1780640.0;9092.7569;14024.8612;9091.5405;14025.2533;9093.4154;14021.8081;9093.5193;14023.9405;9085.5484;14040.8929;9092.5716;14022.547;9092.7214;14023.3311;9093.8784;14022.1471;9091.1512;14026.1961;9092.1981;14021.7552
1780660.0;9092.797;14024.834;9091.7039;14025.2605;9093.2993;14021.8238;9093.4944;14023.9986;9085.6046;14040.814;9092.5589;14022.5785;9092.7501;14023.3905;9093.8221;14022.1335;9091.075;14026.2821;9092.1956;14021.7554
1780680.0;9092.8108;14024.7947;9091.8178;14025.3267;9093.1874;14021.8405;9093.4462;14024.0403;9085.6522;14040.7449;9092.5558;14022.6126;9092.7802;14023.4558;9093.7313;14022.1281;9090.9988;14026.3682;9092.2126;14021.7554
1780700.0;9092.7735;14024.7588;9091.8956;14025.4413;9093.0997;14021.8367;9093.3822;14024.0521;9085.6857;14040.6882;9092.565;14022.6432;9092.8099;14023.5153;9093.6144;14022.1261;9090.9227;14026.4542;9092.2482;14021.7554
1780720.0;9092.677;14024.7344;9091.9613;14025.5663;9093.0478;14021.7986;9093.3098;14024.0391;9085.7017;14040.643;9092.5904;14022.6562;9092.8376;14023.5599;9093.4891;14022.124;9090.8465;14026.5402;9092.2969;14021.755
1780740.0;9092.5347;14024.7225;9092.0211;14025.6599;9093.029;14021.7269;9093.2343;14024.0165;9085.7013;14040.6087;9092.6341;14022.6336;9092.8594;14023.5874;9093.3717;14022.1186;9090.7703;14026.6263;9092.3498;14021.7536
1780760.0;9092.3699;14024.728;9092.0623;14025.7032;9093.0309;14021.6332;9093.1574;14023.9969;9085.6883;14040.5883;9092.692;14022.5624;9092.8684;14023.601;9093.2685;14022.1041;9090.6942;14026.7123;9092.3995;14021.7496
1780780.0;9092.2;14024.7595;9092.0726;14025.7086;9093.0413;14021.5296;9093.0798;14023.9841;9085.6665;14040.5854;9092.7497;14022.4453;9092.8593;14023.6064;9093.1779;14022.0734;9090.618;14026.7983;9092.4437;14021.7413
1780800.0;9092.0342;14024.8182;9092.0545;14025.7041;9093.0554;14021.4229;9093.0014;14023.9737;9085.6397;14040.5962;9092.7886;14022.3028;9092.8327;14023.6081;9093.0977;14022.0183;9090.5415;14026.8844;9092.4848;14021.729
1780820.0;9091.8813;14024.8925;9092.0238;14025.7136;9093.0745;14021.3148;9092.9229;14023.9584;9085.6118;14040.6098;9092.7961;14022.1672;9092.7952;14023.6085;9093.0305;14021.9337;9090.464;14026.9708;9092.5257;14021.7182
1780840.0;9091.754;14024.9634;9091.9989;14025.7471;9093.1011;14021.209;9092.8465;14023.9305;9085.5869;14040.6168;9092.7734;14022.0707;9092.7535;14023.6085;9092.983;14021.8201;9090.383;14027.0579;9092.568;14021.7191
1780860.0;9091.6637;14025.0174;9091.996;14025.8015;9093.1346;14021.1153;9092.7752;14023.8859;9085.5658;14040.617;9092.7331;14022.0327;9092.7102;14023.6076;9092.9594;14021.6883;9090.2937;14027.147;9092.6128;14021.7387
1780880.0;9091.6148;14025.0473;9092.0225;14025.8652;9093.1716;14021.0462;9092.7157;14023.8256;9085.5445;14040.6173;9092.6888;14022.0513;9092.6645;14023.6044;9092.9542;14021.5597;9090.1889;14027.2397;9092.6607;14021.7714
