Time(sentisec);X_A(m);Y_A(m);X_F(m);Y_F(m);X_G(m);Y_G(m);X_H(m);Y_H(m);X_I(m);Y_I(m);X_J(m);Y_J(m);X_K(m);Y_K(m);X_L(m);Y_L(m)
5800500.0;2990.5142;1851.7797;3005.292;1881.6544;2990.139;1853.1422;2987.2396;1848.435;3003.7105;1852.2322;2986.7026;1849.8402;2976.6909;1845.9816;2987.8751;1854.9804
5800520.0;2990.5842;1851.8025;3005.225;1881.5248;2990.0598;1853.1562;2987.2151;1848.3831;3003.5269;1852.1532;2986.6802;1849.9302;2976.6639;1846.0102;2987.7039;1854.9519
5800540.0;2990.65;1851.8145;3005.1613;1881.3993;2989.9948;1853.1806;2987.1905;1848.3446;3003.3319;1852.071;2986.6552;1850.0213;2976.6142;1845.9972;2987.5416;1854.9326
5800560.0;2990.7147;1851.8195;3005.1017;1881.2797;2989.9456;1853.2177;2987.171;1848.3203;3003.132;1851.9974;2986.6334;1850.1156;2976.537;1845.9443;2987.3905;1854.9253
5800580.0;2990.7813;1851.8212;3005.0418;1881.159;2989.9064;1853.2659;2987.1636;1848.3083;3002.932;1851.9416;2986.619;1850.2155;2976.4385;1845.8677;2987.2521;1854.9308
5800600.0;2990.8533;1851.8216;3004.9746;1881.0307;2989.864;1853.3209;2987.1716;1848.3049;3002.7342;1851.9059;2986.6131;1850.3246;2976.3344;1845.7923;2987.1268;1854.946
5800620.0;2990.9346;1851.8216;3004.896;1880.8942;2989.8047;1853.3795;2987.1927;1848.3083;3002.54;1851.8865;2986.6145;1850.4467;2976.2407;1845.7382;2987.0134;1854.9646
5800640.0;2991.0276;1851.8216;3004.8076;1880.7489;2989.7224;1853.4427;2987.2221;1848.3199;3002.3536;1851.8792;2986.6205;1850.5846;2976.1629;1845.7096;2986.9091;1854.9834
5800660.0;2991.1308;1851.8216;3004.7124;1880.5844;2989.6225;1853.5148;2987.2572;1848.3428;3002.1812;1851.8821;2986.6271;1850.7361;2976.0993;1845.6985;2986.81;1855.004
5800680.0;2991.2389;1851.8216;3004.6108;1880.3853;2989.5192;1853.6008;2987.2974;1848.3776;3002.0242;1851.8941;2986.63;1850.8942;2976.0503;1845.6987;2986.713;1855.0335
5800700.0;2991.3452;1851.8216;3004.5003;1880.144;2989.4284;1853.7031;2987.3398;1848.4218;3001.877;1851.9083;2986.6268;1851.0497;2976.0226;1845.7139;2986.6196;1855.0779
5800720.0;2991.4464;1851.8216;3004.38;1879.8696;2989.3604;1853.8196;2987.378;1848.4726;3001.7312;1851.9153;2986.6185;1851.196;2976.0228;1845.7523;2986.5359;1855.1399
5800740.0;2991.5431;1851.8216;3004.2536;1879.5849;2989.32;1853.946;2987.4056;1848.5322;3001.5833;1851.9097;2986.6067;1851.3313;2976.0462;1845.812;2986.4665;1855.2168
5800760.0;2991.6383;1851.8216;3004.1276;1879.3148;2989.3091;1854.0769;2987.4203;1848.6036;3001.4347;1851.893;2986.5891;1851.4588;2976.0755;1845.8742;2986.4088;1855.3041
5800780.0;2991.7334;1851.8216;3004.0065;1879.0741;2989.3279;1854.2062;2987.4259;1848.685;3001.2865;1851.8713;2986.5585;1851.5831;2976.093;1845.9158;2986.3543;1855.3972
5800800.0;2991.8286;1851.8216;3003.8911;1878.8615;2989.371;1854.3263;2987.431;1848.7659;3001.1337;1851.8507;2986.5063;1851.7099;2976.0916;1845.9273;2986.295;1855.4922
5800820.0;2991.9253;1851.8216;3003.7795;1878.6618;2989.4257;1854.4316;2987.4452;1848.833;3000.9681;1851.8352;2986.4268;1851.8458;2976.0749;1845.9163;2986.229;1855.5867
5800840.0;2992.0265;1851.8216;3003.6714;1878.4583;2989.4747;1854.52;2987.4731;1848.8779;3000.787;1851.8258;2986.3189;1851.9964;2976.0495;1845.8962;2986.1604;1855.6776
5800860.0;2992.1331;1851.8216;3003.5679;1878.2419;2989.5044;1854.5933;2987.5111;1848.8993;3000.5968;1851.8202;2986.1856;1852.1635;2976.0195;1845.8763;2986.0947;1855.7627
5800880.0;2992.242;1851.8216;3003.4712;1878.0154;2989.5121;1854.6514;2987.552;1848.9022;3000.4116;1851.817;2986.0349;1852.3412;2975.9869;1845.8611;2986.0353;1855.8405
5800900.0;2992.3477;1851.8216;3003.3804;1877.7881;2989.5042;1854.6879;2987.5907;1848.8951;3000.2424;1851.8182;2985.8825;1852.5145;2975.9522;1845.8533;2985.9814;1855.9122
