Time(sentisec);X_A(m);Y_A(m);X_B(m);Y_B(m);X_D(m);Y_D(m);X_G(m);Y_G(m);X_H(m);Y_H(m);X_I(m);Y_I(m);X_J(m);Y_J(m);X_L(m);Y_L(m);X_M(m);Y_M(m)
3845860.0;3044.2882;1804.5369;3047.245;1805.669;3044.2399;1804.5748;3045.0015;1804.7755;3045.4164;1801.9487;3048.7451;1806.7937;3044.332;1807.9167;2990.7945;1846.9724;3034.3467;1810.1605
3845880.0;3044.329;1806.9399;3047.5262;1807.8776;3044.6639;1806.9468;3045.1828;1806.8758;3046.1149;1804.633;3048.9541;1809.2275;3044.2687;1810.1527;2990.528;1848.4672;3035.0875;1811.9987
3845900.0;3044.144;1809.2553;3047.5816;1810.0082;3044.8923;1809.2924;3045.1137;1808.9294;3046.5325;1807.33;3048.853;1811.5898;3043.938;1812.3085;2990.4899;1849.9789;3035.4797;1813.8405
3845920.0;3043.7491;1811.4904;3047.4037;1812.0557;3044.9258;1811.5889;3044.8054;1810.9242;3046.6579;1809.9984;3048.465;1813.8409;3043.3756;1814.3763;2990.6619;1851.4934;3035.5555;1815.6646
3845940.0;3043.1757;1813.6461;3046.9982;1814.0186;3044.766;1813.8122;3044.2869;1812.8429;3046.4912;1812.5941;3047.8239;1815.952;3042.6303;1816.3516;2991.022;1853.0005;3035.3591;1817.4699
3845960.0;3042.4598;1815.7152;3046.3881;1815.8927;3044.4147;1815.939;3043.5951;1814.6644;3046.0495;1815.0792;3046.9711;1817.9101;3041.7527;1818.2317;2991.5469;1854.4921;3034.915;1819.2815
3845980.0;3041.63;1817.6849;3045.6053;1817.6751;3043.8764;1817.9527;3042.7628;1816.3696;3045.364;1817.4266;3045.9521;1819.7204;3040.7798;1820.0203;2992.2164;1855.9645;3034.2284;1821.1323
3846000.0;3040.7008;1819.539;3044.6768;1819.3718;3043.1607;1819.8484;3041.8121;1817.9503;3044.4723;1819.6189;3044.8086;1821.4013;3039.7294;1821.7285;2993.0129;1857.4194;3033.3174;1823.0338
3846020.0;3039.675;1821.2629;3043.6186;1820.9965;3042.2819;1821.6321;3040.7552;1819.4132;3043.4085;1821.6438;3043.5721;1822.9748;3038.6104;1823.3696;2993.9218;1858.8607;3032.2393;1824.9677
3846040.0;3038.5512;1822.8471;3042.44;1822.5591;3041.2552;1823.3153;3039.603;1820.7748;3042.1988;1823.4927;3042.2601;1824.4595;3037.4341;1824.9504;2994.9305;1860.2899;3031.0933;1826.8934
3846060.0;3037.3305;1824.2927;3041.1519;1824.0522;3040.0949;1824.9056;3038.367;1822.0509;3040.8619;1825.1612;3040.8805;1825.8664;3036.2138;1826.4693;2996.0293;1861.7061;3029.9991;1828.7609
3846080.0;3036.0176;1825.6119;3039.77;1825.4526;3038.8125;1826.4021;3037.0598;1823.2501;3039.4129;1826.6509;3039.4363;1827.1999;3034.9537;1827.9213;2997.2107;1863.1082;3029.0612;1830.5255
3846100.0;3034.6194;1826.8271;3038.311;1826.7385;3037.4178;1827.7966;3035.6887;1824.3756;3037.8676;1827.9724;3037.9262;1828.4606;3033.6425;1829.3033;2998.4649;1864.4982;3028.3327;1832.1611
3846120.0;3033.1417;1827.9653;3036.789;1827.906;3035.9199;1829.0813;3034.2535;1825.4287;3036.2452;1829.1455;3036.3454;1829.648;3032.2616;1830.6113;2999.7711;1865.8826;3027.7971;1833.6686
3846140.0;3031.5894;1829.0497;3035.2154;1828.969;3034.3303;1830.2541;3032.7478;1826.4074;3034.5646;1830.1976;3034.6857;1830.7579;3030.7972;1831.8338;3001.0955;1867.2728;3027.3561;1835.067
