Time(sentisec);X_A(m);Y_A(m);X_B(m);Y_B(m);X_C(m);Y_C(m);X_D(m);Y_D(m);X_G(m);Y_G(m);X_H(m);Y_H(m);X_L(m);Y_L(m)
1678700.0;3001.5889;1850.4729;2999.4018;1853.3813;3001.2521;1854.5142;3001.5006;1855.4342;3001.3335;1851.5382;3004.3833;1853.9709;2995.3467;1852.5543
1678720.0;3001.6163;1850.5145;2999.4503;1853.3641;3001.3064;1854.5807;3001.4554;1855.5545;3001.3101;1851.3263;3004.437;1853.9349;2995.3662;1852.4463
1678740.0;3001.625;1850.5542;2999.5006;1853.3388;3001.352;1854.6179;3001.3941;1855.6849;3001.3016;1851.0992;3004.5026;1853.9037;2995.3787;1852.3268
1678760.0;3001.6153;1850.5938;2999.5508;1853.3031;3001.383;1854.6292;3001.3253;1855.8247;3001.3068;1850.8811;3004.5751;1853.8771;2995.3867;1852.1986
1678780.0;3001.5902;1850.6336;2999.5969;1853.2596;3001.4005;1854.6258;3001.26;1855.9645;3001.323;1850.6931;3004.6471;1853.8499;2995.3947;1852.0704
1678800.0;3001.5526;1850.6702;2999.6345;1853.2155;3001.411;1854.6217;3001.2048;1856.0868;3001.3459;1850.5472;3004.7102;1853.8174;2995.4075;1851.9516
1678820.0;3001.5034;1850.6991;2999.6597;1853.1782;3001.4224;1854.6276;3001.1577;1856.1765;3001.3693;1850.4427;3004.7621;1853.7821;2995.4284;1851.849
1678840.0;3001.4414;1850.7193;2999.6708;1853.1492;3001.4406;1854.649;3001.1105;1856.2311;3001.388;1850.3687;3004.812;1853.7549;2995.459;1851.7644
1678860.0;3001.3672;1850.7355;2999.6678;1853.1226;3001.468;1854.6848;3001.0543;1856.2609;3001.3996;1850.312;3004.8817;1853.75;2995.5012;1851.6954
1678880.0;3001.2858;1850.7543;2999.6531;1853.088;3001.5029;1854.7284;3000.9858;1856.282;3001.4054;1850.2661;3004.9999;1853.7786;2995.5595;1851.6347
1678900.0;3001.2066;1850.7801;2999.6291;1853.0368;3001.5406;1854.7713;3000.9097;1856.3102;3001.4077;1850.2343;3005.1881;1853.8442;2995.6393;1851.5711
