Time(sentisec);X_A(m);Y_A(m);X_B(m);Y_B(m);X_C(m);Y_C(m);X_D(m);Y_D(m);X_G(m);Y_G(m);X_H(m);Y_H(m);X_I(m);Y_I(m);X_J(m);Y_J(m);X_L(m);Y_L(m)
2025500.0;6551.5083;15886.1774;6549.7005;15890.1521;6551.9781;15886.9972;6549.5367;15886.1546;6548.8819;15893.8993;6550.704;15888.679;6552.8676;15887.2521;6555.4407;15886.3256;6555.2672;15889.0244
2025520.0;6550.551;15883.931;6548.7255;15887.9673;6551.1381;15884.7783;6548.6427;15883.8871;6547.9926;15891.7454;6549.805;15886.5003;6551.9149;15885.0652;6554.532;15884.1666;6554.4372;15886.8283
2025540.0;6549.5482;15881.6976;6547.7467;15885.767;6550.2491;15882.5475;6547.7627;15881.6246;6547.0899;15889.5659;6548.8882;15884.3198;6550.926;15882.8758;6553.5837;15881.981;6553.5729;15884.6256
2025560.0;6548.5105;15879.4825;6546.7768;15883.5436;6549.3239;15880.3008;6546.8876;15879.3533;6546.179;15887.3641;6547.9551;15882.1333;6549.9154;15880.6759;6552.6104;15879.7752;6552.6775;15882.422
2025580.0;6547.4482;15877.2785;6545.8232;15881.2895;6548.3778;15878.0318;6546.0055;15877.0605;6545.2625;15885.1444;6547.0065;15879.9349;6548.899;15878.459;6551.6311;15877.5574;6551.7548;15880.2129
2025600.0;6546.3722;15875.0694;6544.8874;15879.0019;6547.424;15875.7352;6545.1073;15874.7423;6544.3443;15882.9075;6546.0422;15877.7202;6547.8896;15876.2198;6550.6652;15875.3322;6550.81;15877.987
2025620.0;6545.2912;15872.8378;6543.9639;15876.6829;6546.4687;15873.4111;6544.1899;15872.4043;6543.4301;15880.6502;6545.0617;15875.4877;6546.8925;15873.9539;6549.7303;15873.0995;6549.8497;15875.7356
2025640.0;6544.2084;15870.5761;6543.0435;15874.3365;6545.5121;15871.0662;6543.2539;15870.0563;6542.5223;15878.3707;6544.0644;15873.2388;6545.9039;15871.6587;6548.8392;15870.8553;6548.8805;15873.4583
2025660.0;6543.1204;15868.2912;6542.1152;15871.9677;6544.5521;15868.7101;6542.2976;15867.7083;6541.6149;15876.0739;6543.0483;15870.978;6544.9131;15869.3368;6547.9946;15868.5956;6547.905;15871.1636
2025680.0;6542.0197;15866.0002;6541.1687;15869.5835;6543.5878;15866.35;6541.3133;15865.37;6540.6949;15873.7711;6542.0084;15868.7113;6543.906;15866.9988;6547.1854;15866.3197;6546.9204;15868.8636
2025700.0;6540.8984;15863.7189;6540.1952;15867.1936;6542.6189;15863.9892;6540.2895;15863.0508;6539.7487;15871.4716;6540.937;15866.4429;6542.868;15864.6607;6546.3891;15864.0327;6545.9195;15866.5701
2025720.0;6539.751;15861.4515;6539.1897;15864.809;6541.6417;15861.6295;6539.2166;15860.7549;6538.7689;15869.1764;6539.8268;15864.1745;6541.7854;15862.3389;6545.5792;15861.7432;6544.8954;15864.2913
2025740.0;6538.5746;15859.1899;6538.1519;15862.4381;6540.6483;15859.2751;6538.0903;15858.4761;6537.7525;15866.8806;6538.6727;15861.9077;6540.6458;15860.0437;6544.7322;15859.458;6543.8432;15862.0306
