Time(sentisec);X_A(m);Y_A(m);X_L(m);Y_L(m);X_B(m);Y_B(m);X_C(m);Y_C(m);X_D(m);Y_D(m);X_E(m);Y_E(m);X_G(m);Y_G(m);X_H(m);Y_H(m);X_I(m);Y_I(m);X_J(m);Y_J(m)
2229340.0;3002.4425;1847.4014;2995.0483;1855.4029;2996.3151;1847.5578;2987.6586;1856.3171;3005.0451;1850.4536;2994.851;1847.9488;2994.4947;1844.7825;3004.0637;1841.0425;2993.1026;1845.7469;3010.2711;1875.0697
2229360.0;3002.4404;1847.4246;2995.182;1855.3858;2996.3401;1847.5403;2987.5942;1856.3943;3005.0876;1850.2718;2994.7934;1848.0039;2994.4423;1844.6027;3004.0624;1841.1303;2993.1748;1845.5515;3010.3468;1875.1783
2229360.0;3002.4404;1847.4246;2995.182;1855.3858;2996.3401;1847.5403;2987.5942;1856.3943;3005.0876;1850.2718;2994.7934;1848.0039;2994.4423;1844.6027;3004.0624;1841.1303;2993.1748;1845.5515;3010.3468;1875.1783
2229380.0;3002.4506;1847.4455;2995.3174;1855.3679;2996.3623;1847.5297;2987.5233;1856.517;3005.1626;1850.1847;2994.7376;1848.0525;2994.4421;1844.4207;3004.0739;1841.2289;2993.2494;1845.3969;3010.4225;1875.2869
2229380.0;3002.4506;1847.4455;2995.3174;1855.3679;2996.3623;1847.5297;2987.5233;1856.517;3005.1626;1850.1847;2994.7376;1848.0525;2994.4421;1844.4207;3004.0739;1841.2289;2993.2494;1845.3969;3010.4225;1875.2869
2229400.0;3002.4765;1847.4679;2995.4452;1855.3544;2996.3772;1847.5308;2987.4516;1856.6699;3005.0777;1850.2658;2994.6867;1848.0885;2994.5054;1844.241;3004.0933;1841.3173;2993.3201;1845.2802;3010.4981;1875.3954
2229400.0;3002.4765;1847.4679;2995.4452;1855.3544;2996.3772;1847.5308;2987.4516;1856.6699;3005.0777;1850.2658;2994.6867;1848.0885;2994.5054;1844.241;3004.0933;1841.3173;2993.3201;1845.2802;3010.4981;1875.3954
2229420.0;3002.525;1847.5049;2995.5626;1855.3461;2996.3842;1847.5504;2987.3778;1856.8419;3004.7311;1850.5781;2994.6424;1848.1075;2994.6392;1844.069;3004.1116;1841.3812;2993.378;1845.1785;3010.5738;1875.504
2229420.0;3002.525;1847.5049;2995.5626;1855.3461;2996.3842;1847.5504;2987.3778;1856.8419;3004.7311;1850.5781;2994.6424;1848.1075;2994.6392;1844.069;3004.1116;1841.3812;2993.378;1845.1785;3010.5738;1875.504
2229440.0;3002.5973;1847.5723;2995.6753;1855.3389;2996.3842;1847.5919;2987.2981;1857.0283;3004.2104;1851.0838;2994.6062;1848.108;2994.8472;1843.9092;3004.1192;1841.4184;2993.4189;1845.0642;3010.6495;1875.6126
