Time(sentisec);X_A(m);Y_A(m);X_M(m);Y_M(m);X_B(m);Y_B(m);X_C(m);Y_C(m);X_D(m);Y_D(m);X_G(m);Y_G(m);X_H(m);Y_H(m);X_I(m);Y_I(m);X_J(m);Y_J(m);X_L(m);Y_L(m)
1879300.0;2986.3718;1799.0986;2984.7735;1805.9651;2984.9266;1794.3313;2984.9648;1799.8029;2985.0693;1797.0968;2984.191;1797.556;2983.4865;1792.0411;2984.1996;1794.7222;2983.0961;1797.9073;2985.3958;1794.1479
1879320.0;2988.7237;1799.8047;2987.0525;1806.0964;2987.6065;1794.7358;2987.3146;1800.206;2987.4472;1797.4777;2986.5219;1797.972;2986.0887;1792.1495;2986.7406;1795.0023;2985.454;1798.3401;2988.0312;1794.4069
1879340.0;2990.9413;1800.6905;2989.2348;1806.3512;2990.2004;1795.3424;2989.5789;1800.7788;2989.7232;1798.0696;2988.7607;1798.5891;2988.642;1792.4542;2989.1818;1795.4763;2987.694;1798.9653;2990.5554;1794.8745
1879360.0;2993.0212;1801.7304;2991.3154;1806.733;2992.6871;1796.1428;2991.7493;1801.5027;2991.8882;1798.8547;2990.9031;1799.3845;2991.1363;1792.954;2991.514;1796.1411;2989.8122;1799.7618;2992.9554;1795.5368
1879380.0;2994.9646;1802.8969;2993.2943;1807.2463;2995.0425;1797.1312;2993.8177;1802.3594;2993.9399;1799.8087;2992.9455;1800.3295;2993.5591;1793.6451;2993.73;1796.9875;2991.8133;1800.7042;2995.2259;1796.3699
1879400.0;2996.7792;1804.1626;2995.1738;1807.8956;2997.2442;1798.2984;2995.7781;1803.3368;2995.8796;1800.9023;2994.8864;1801.3931;2995.8954;1794.5242;2995.8228;1798.0004;2993.7093;1801.7628;2997.3675;1797.3461
1879420.0;2998.4765;1805.505;2996.9534;1808.6831;2999.2768;1799.6266;2997.6269;1804.4315;2997.7097;1802.1061;2996.7266;1802.5488;2998.1305;1795.5877;2997.7879;1799.1645;2995.5149;1802.9084;2999.3848;1798.4412
1879440.0;3000.0675;1806.9077;2998.6283;1809.6011;3001.1345;1801.0909;2999.3653;1805.6416;2999.4347;1803.3946;2998.4686;1803.7816;3000.2519;1796.8301;2999.6257;1800.4666;2997.2429;1804.1168;3001.2825;1799.6417
1879460.0;3001.5596;1808.3608;3000.1924;1810.6282;3002.8223;1802.6633;3001.0019;1806.9573;3001.0616;1804.7498;3000.1139;1805.0889;3002.2505;1798.2382;3001.3419;1801.893;2998.9022;1805.3727;3003.0646;1800.9434
1879480.0;3002.9571;1809.8563;3001.645;1811.7356;3004.3566;1804.3187;3002.5537;1808.3575;3002.6001;1806.1595;3001.6618;1806.4726;3004.1196;1799.7935;3002.9457;1803.424;3000.4994;1806.6686;3004.7329;1802.3462
1879500.0;3004.2641;1811.3874;3002.9946;1812.8988;3005.7642;1806.0357;3004.0417;1809.8168;3004.0633;1807.6162;3003.1109;1807.9304;3005.8565;1801.4753;3004.4472;1805.0342;3002.0406;1808.0023;3006.2872;1803.8457
1879520.0;3005.488;1812.9482;3004.2574;1814.1057;3007.078;1807.7955;3005.485;1811.3122;3005.4673;1809.1125;3004.4642;1809.4515;3007.4617;1803.2654;3005.856;1806.6964;3003.532;1809.3732;3007.7273;1805.4306
1879540.0;3006.6416;1814.5347;3005.4527;1815.3549;3008.3308;1809.5806;3006.8976;1812.8255;3006.8287;1810.641;3005.7304;1811.0211;3008.9385;1805.1479;3007.1833;1808.3844;3004.9813;1810.7794;3009.0563;1807.084
1879560.0;3007.7448;1816.1441;3006.5976;1816.6488;3009.5492;1811.3736;3008.2883;1814.342;3008.1612;1812.1925;3006.924;1812.6258;3010.2913;1807.1062;3008.4438;1810.0747;3006.3974;1812.2161;3010.2825;1808.7873
1879580.0;3008.8207;1817.7719;3007.7058;1817.9886;3010.7507;1813.1604;3009.6613;1815.8523;3009.4726;1813.7584;3008.0626;1814.2557;3011.5254;1809.1191;3009.6554;1811.7492;3007.7887;1813.6762;3011.4202;1810.5239
1879600.0;3009.8897;1819.4098;3008.7867;1819.376;3011.9449;1814.9317;3011.0188;1817.3538;3010.7662;1815.332;3009.1648;1815.902;3012.6516;1811.1588;3010.8362;1813.3983;3009.1607;1815.1532;3012.4859;1812.283
1879620.0;3010.9632;1821.0466;3009.8455;1820.8144;3013.1349;1816.6822;3012.3615;1818.8515;3012.0412;1816.9103;3010.246;1817.5567;3013.6896;1813.1933;3011.9975;1815.0249;3010.5153;1816.6434;3013.4955;1814.0612
1879640.0;3012.0425;1822.6721;3010.8822;1822.3063;3014.3197;1818.4097;3013.6917;1820.3557;3013.2942;1818.4954;3011.3168;1819.2128;3014.6665;1815.1917;3013.1401;1816.6425;3011.8504;1818.1476;3014.4606;1815.8634
1879660.0;3013.1237;1824.2816;3011.8933;1823.8531;3015.4948;1820.1153;3015.01;1821.8806;3014.517;1820.0958;3012.3812;1820.8677;3015.611;1817.133;3014.2556;1818.2736;3013.1609;1819.6695;3015.3886;1817.6974
1879680.0;3014.2039;1825.8764;3012.872;1825.4555;3016.6537;1821.8047;3016.3131;1823.4412;3015.6952;1821.7249;3013.4365;1822.5273;3016.5457;1819.0121;3015.3319;1819.9439;3014.4373;1821.214;3016.2832;1819.5679
1879700.0;3015.2842;1827.4645;3013.809;1827.1158;3017.7886;1823.4897;3017.5892;1825.0519;3016.809;1823.3985;3014.4722;1824.2083;3017.485;1820.8391;3016.3583;1821.6753;3015.6674;1822.7871;3017.1458;1821.472
1879720.0;3016.368;1829.0594;3014.6916;1828.836;3018.8917;1825.1878;3018.8169;1826.7261;3017.8381;1825.1293;3015.4683;1825.9353;3018.4355;1822.6321;3017.3277;1823.4804;3016.839;1824.3987;3017.9772;1823.4016
1879740.0;3017.4607;1830.6867;3015.506;1830.614;3019.9539;1826.9211;3019.9682;1828.4779;3018.7658;1826.9238;3016.3982;1827.7318;3019.3993;1824.4083;3018.2366;1825.3621;3017.9446;1826.0639;3018.7784;1825.3496
1879760.0;3018.5751;1832.3942;3016.241;1832.4431;3020.9651;1828.711;3021.0166;1830.3186;3019.5831;1828.7807;3017.2381;1829.6104;3020.373;1826.182;3019.0833;1827.3176;3018.98;1827.8002;3019.5512;1827.3143
1879780.0;3019.7264;1834.2443;3016.892;1834.3147;3021.9136;1830.5709;3021.9453;1832.2478;3020.2884;1830.693;3017.977;1831.5695;3021.3473;1827.967;3019.8675;1829.3439;3019.9413;1829.6225;3020.2998;1829.2982
1879800.0;3020.9078;1836.2797;3017.4629;1836.2219;3022.7884;1832.5024;3022.7519;1834.2498;3020.8856;1832.6504;3018.6194;1833.5961;3022.3058;1829.7826;3020.5895;1831.4397;3020.8221;1831.5397;3021.0291;1831.3048
1879820.0;3022.0622;1838.4814;3017.9644;1838.1624;3023.5806;1834.4991;3023.4439;1836.3027;3021.3815;1834.6413;3019.1753;1835.6734;3023.2271;1831.6546;3021.2504;1833.6034;3021.6135;1833.5514;3021.7421;1833.3363
1879840.0;3023.0884;1840.7652;3018.4118;1840.1366;3024.285;1836.5528;3024.0316;1838.3911;3021.7839;1836.6549;3019.6471;1837.7868;3024.0875;1833.6109;3021.8521;1835.8302;3022.3082;1835.6472;3022.4367;1835.3968
1879860.0;3023.8942;1843.0318;3018.8213;1842.1445;3024.901;1838.6582;3024.5241;1840.5103;3022.1018;1838.6834;3020.026;1839.9274;3024.8651;1835.6725;3022.3967;1838.1116;3022.9032;1837.8097;3023.1069;1837.4956
1879880.0;3024.4486;1845.2244;3019.2055;1844.1811;3025.4334;1840.8121;3024.93;1842.6601;3022.3459;1840.7235;3020.3;1842.091;3025.5442;1837.8452;3022.8852;1840.4365;3023.4008;1840.0211;3023.7478;1839.6459
1879900.0;3024.7869;1847.3437;3019.5697;1846.2367;3025.8924;1843.0113;3025.2588;1844.8382;3022.529;1842.7761;3020.4629;1844.2749;3026.1189;1840.1189;3023.3142;1842.7925;3023.8086;1842.2685;3024.3573;1841.8565
1879920.0;3024.9765;1849.4216;3019.911;1848.3023;3026.2934;1845.25;3025.5214;1847.0376;3022.6658;1844.843;3020.5206;1846.4748;3026.594;1842.4751;3023.6771;1845.1658;3024.1371;1844.5431;3024.9334;1844.1235
1879940.0;3025.081;1851.4917;3020.2189;1850.3759;3026.6531;1847.5199;3025.728;1849.2504;3022.7708;1846.9238;3020.4884;1848.6855;3026.9827;1844.896;3023.9661;1847.5436;3024.3983;1846.8372;3025.4712;1846.4304
1879960.0;3025.1453;1853.577;3020.4742;1852.4611;3026.9863;1849.8115;3025.8876;1851.4694;3022.8585;1849.0174;3020.3866;1850.9022;3027.3;1847.3689;3024.178;1849.9179;3024.6018;1849.1414;3025.9644;1848.7575
1879980.0;3025.1954;1855.6906;3020.6509;1854.563;3027.3002;1852.1163;3026.0089;1853.6905;3022.9406;1851.1247;3020.2344;1853.1224;3027.5549;1849.8836;3024.3148;1852.2883;3024.7537;1851.445;3026.41;1851.0932
