Time(sentisec);X_B(m);Y_B(m);X_C(m);Y_C(m);X_D(m);Y_D(m);X_G(m);Y_G(m);X_H(m);Y_H(m);X_I(m);Y_I(m);X_J(m);Y_J(m);X_L(m);Y_L(m);X_M(m);Y_M(m)
5398460.0;2994.7499;1848.8027;2996.9917;1848.8447;2992.4805;1852.2474;2989.7051;1847.2802;2991.159;1850.9748;2996.0754;1843.4665;2983.978;1854.6426;2993.59;1849.1971;2993.0791;1847.8749
5398480.0;2994.7277;1848.7691;2996.5976;1849.0339;2992.4814;1852.3078;2989.7973;1847.2385;2991.2136;1850.9114;2996.0134;1843.4073;2984.103;1854.5735;2993.549;1849.3491;2992.9914;1847.9052
5398500.0;2994.6953;1848.7435;2996.2682;1849.243;2992.4669;1852.3536;2989.8859;1847.2007;2991.2555;1850.8662;2995.9626;1843.3565;2984.1943;1854.5339;2993.5428;1849.5102;2992.8982;1847.9523
5398520.0;2994.6513;1848.7315;2996.0111;1849.4849;2992.4307;1852.3852;2989.9484;1847.173;2991.2892;1850.8331;2995.9266;1843.3218;2984.2306;1854.5532;2993.5573;1849.6705;2992.8121;1847.9779
5398540.0;2994.599;1848.7297;2995.8146;1849.7639;2992.3692;1852.4042;2989.9804;1847.1502;2991.3156;1850.8102;2995.906;1843.2992;2984.2063;1854.6367;2993.5805;1849.8131;2992.7448;1847.9571
5398560.0;2994.5436;1848.729;2995.6606;1850.0714;2992.2857;1852.409;2989.9915;1847.1244;2991.3309;1850.8019;2995.8989;1843.2773;2984.1158;1854.7762;2993.6023;1849.9275;2992.7004;1847.889
5398580.0;2994.4912;1848.723;2995.5362;1850.3841;2992.192;1852.3936;2989.9934;1847.0963;2991.3312;1850.8118;2995.903;1843.2432;2983.9455;1854.9613;2993.6176;1850.0165;2992.6758;1847.798
5398600.0;2994.4476;1848.7124;2995.4361;1850.6715;2992.1028;1852.3528;2989.9933;1847.0752;2991.3172;1850.8343;2995.9169;1843.1873;2983.6835;1855.1801;2993.6264;1850.0896;2992.6623;1847.7175
5398620.0;2994.4165;1848.702;2995.3626;1850.9108;2992.0248;1852.2882;2989.9939;1847.0712;2991.2956;1850.8577;2995.9387;1843.1073;2983.3444;1855.4136;2993.6321;1850.1557;2992.6521;1847.6665
5398640.0;2994.3985;1848.695;2995.3182;1851.0967;2991.9511;1852.2083;2989.997;1847.0871;2991.2746;1850.8715;2995.9638;1843.0109;2982.9755;1855.6381;2993.6389;1850.218;2992.6419;1847.6401
5398660.0;2994.3915;1848.6916;2995.3006;1851.2362;2991.8689;1852.1242;2990.0051;1847.1169;2991.2597;1850.8693;2995.9856;1842.9136;2982.6288;1855.8406;2993.6509;1850.2761;2992.6317;1847.6224
5398680.0;2994.3929;1848.6904;2995.3024;1851.3367;2991.7704;1852.045;2990.0203;1847.1501;2991.2515;1850.8476;2995.9994;1842.8296;2982.329;1856.0255;2993.6698;1850.3291;2992.6196;1847.6049
5398700.0;2994.3999;1848.6895;2995.3144;1851.4017;2991.6634;1851.9819;2990.0427;1847.1773;2991.2481;1850.8044;2996.0031;1842.7661;2982.0717;1856.203;2993.6939;1850.3782;2992.6006;1847.5906
5398720.0;2994.41;1848.6882;2995.3269;1851.433;2991.5729;1851.952;2990.0689;1847.1949;2991.247;1850.74;2995.9949;1842.726;2981.8521;1856.3703;2993.7184;1850.4261;2992.5669;1847.5889
5398740.0;2994.421;1848.6845;2995.3294;1851.433;2991.5325;1851.9756;2990.0944;1847.2057;2991.2465;1850.6606;2995.9727;1842.7136;2981.6853;1856.5015;2993.7376;1850.474;2992.5102;1847.6084
5398760.0;2994.4333;1848.6768;2995.3079;1851.4025;2991.5652;1852.0603;2990.1177;1847.2169;2991.2454;1850.5765;2995.9357;1842.7329;2981.5976;1856.5629;2993.7459;1850.5219;2992.4239;1847.658
5398780.0;2994.4485;1848.6653;2995.246;1851.3419;2991.6618;1852.1856;2990.141;1847.2388;2991.242;1850.5036;2995.8885;1842.7793;2981.603;1856.5358;2993.7389;1850.5718;2992.304;1847.7456
5398800.0;2994.4665;1848.654;2995.1299;1851.2563;2991.777;1852.3081;2990.1668;1847.2827;2991.2339;1850.4606;2995.8417;1842.8373;2981.6887;1856.4344;2993.716;1850.6272;2992.153;1847.8745
5398820.0;2994.4838;1848.6493;2994.9541;1851.1571;2991.851;1852.3839;2990.194;1847.3537;2991.2187;1850.4618;2995.8059;1842.8891;2981.828;1856.2986;2993.6853;1850.6893;2991.9843;1848.0413
