Time(sentisec);X_B(m);Y_B(m);X_C(m);Y_C(m);X_G(m);Y_G(m);X_H(m);Y_H(m);X_I(m);Y_I(m);X_L(m);Y_L(m);X_M(m);Y_M(m)
1469220.0;2986.0021;1882.7349;2990.2123;1845.4418;3012.4327;1829.7626;2998.2267;1840.0857;2990.608;1841.4185;2995.5793;1856.0383;2997.2622;1846.2388
1469240.0;2986.0648;1875.0847;2990.2982;1845.1824;3011.9889;1830.8838;2998.6198;1839.7419;2990.6327;1841.4885;2995.4234;1856.157;2997.264;1846.2
1469260.0;2986.2388;1867.6427;2990.3697;1844.9791;3011.5237;1832.0472;2999.0006;1839.3685;2990.6961;1841.5366;2995.258;1856.338;2997.2815;1846.1435
1469280.0;2986.4618;1861.3265;2990.4328;1844.8005;3011.054;1833.2064;2999.3802;1838.9756;2990.7975;1841.5671;2995.1;1856.5846;2997.329;1846.0696
1469300.0;2986.6706;1856.514;2990.4914;1844.6332;3010.5922;1834.3267;2999.764;1838.5831;2990.9173;1841.5884;2994.9634;1856.88;2997.4093;1845.9857
1469320.0;2986.8458;1853.1;2990.5333;1844.5061;3010.1459;1835.3794;3000.1449;1838.2156;2991.0261;1841.6051;2994.8533;1857.1886;2997.5041;1845.9102
1469340.0;2987.0161;1850.7636;2990.5448;1844.5014;3009.7193;1836.3391;3000.5053;1837.8941;2991.0994;1841.618;2994.7682;1857.469;2997.5842;1845.863
1469360.0;2987.2328;1849.1879;2990.5357;1844.6635;3009.3147;1837.1903;3000.8248;1837.6281;2991.127;1841.6272;2994.7038;1857.6905;2997.6297;1845.85
1469380.0;2987.5353;1848.1333;2990.5414;1844.9086;3008.9336;1837.94;3001.0948;1837.4058;2991.1143;1841.6365;2994.6529;1857.8462;2997.6402;1845.8598
1469400.0;2987.9241;1847.4432;2990.5898;1845.0596;3008.5762;1838.618;3001.3246;1837.2007;2991.0773;1841.6525;2994.6051;1857.9575;2997.6223;1845.8769
1469420.0;2988.349;1847.0142;2990.6718;1845.0095;3008.2412;1839.2598;3001.5331;1836.9881;2991.0349;1841.6826;2994.5485;1858.0644;2997.5764;1845.8949
1469440.0;2988.7366;1846.7674;2990.7454;1844.8425;3007.9277;1839.8846;3001.7329;1836.7579;2991.002;1841.7306;2994.4727;1858.2053;2997.4975;1845.9195
1469460.0;2989.0415;1846.6533;2990.7677;1844.7642;3007.6375;1840.4928;3001.925;1836.5133;2990.9833;1841.7937;2994.3716;1858.3992;2997.3864;1845.9632
1469480.0;2989.2736;1846.6786;2990.7189;1844.8956;3007.3745;1841.0717;3002.1029;1836.2604;2990.9725;1841.8623;2994.242;1858.6475;2997.2584;1846.0344
1469500.0;2989.4752;1846.9049;2990.5976;1845.1611;3007.1429;1841.6041;3002.2612;1835.9994;2990.9594;1841.9243;2994.0845;1858.9402;2997.1353;1846.1313
1469520.0;2989.6772;1847.4183;2990.4064;1845.3601;3006.9445;1842.0758;3002.4002;1835.725;2990.9356;1841.9717;2993.9037;1859.264;2997.0328;1846.2403
1469540.0;2989.8797;1848.2588;2990.1458;1845.3499;3006.7783;1842.4871;3002.5197;1835.4338;2990.8983;1842.0045;2993.7073;1859.6033;2996.9533;1846.3424
1469560.0;2990.0678;1849.3896;2989.828;1845.1259;3006.6391;1842.8593;3002.6132;1835.129;2990.8462;1842.0316;2993.5019;1859.9435;2996.8882;1846.4246
1469580.0;2990.2368;1850.6673;2989.4992;1844.8028;3006.5156;1843.2288;3002.6673;1834.822;2990.7786;1842.0657;2993.291;1860.2773;2996.8276;1846.4849
1469600.0;2990.3957;1851.8684;2989.2336;1844.489;3006.3944;1843.6302;3002.664;1834.5346;2990.7008;1842.1192;2993.075;1860.6053;2996.7667;1846.5299
1469620.0;2990.5574;1852.7958;2989.1047;1844.1991;3006.2734;1844.0685;3002.5874;1834.2944;2990.6303;1842.2006;2992.853;1860.9295;2996.7064;1846.5697
1469640.0;2990.7216;1853.3535;2989.1315;1843.8448;3006.178;1844.4924;3002.4176;1834.1388;2990.59;1842.3098;2992.6268;1861.2474;2996.6486;1846.615
1469660.0;2990.8705;1853.5561;2989.2696;1843.3159;3006.1592;1844.7877;3002.1265;1834.1157;2990.5896;1842.4352;2992.4008;1861.5495;2996.5922;1846.6761
1469680.0;2990.9756;1853.4737;2989.45;1842.5555;3006.268;1844.8149;3001.6889;1834.2708;2990.6142;1842.5542;2992.1799;1861.8235;2996.5343;1846.7597
1469700.0;2991.0116;1853.2064;2989.6355;1841.5718;3006.5252;1844.4803;3001.1036;1834.6217;2990.6332;1842.6426;2991.967;1862.061;2996.474;1846.8643
1469720.0;2990.9751;1852.9275;2989.8293;1840.4252;3006.9091;1843.789;3000.3987;1835.1408;2990.6225;1842.6836;2991.7629;1862.2613;2996.4151;1846.9774
1469740.0;2990.894;1852.9085;2990.0411;1839.218;3007.3704;1842.8387;2999.6093;1835.7697;2990.5786;1842.6721;2991.5676;1862.4339;2996.3618;1847.082
1469760.0;2990.8105;1853.4166;2990.2611;1838.0676;3007.8573;1841.7622;2998.7562;1836.4524;2990.5138;1842.61;2991.379;1862.5956;2996.3194;1847.164
1469780.0;2990.7547;1854.5849;2990.4648;1837.0661;3008.3344;1840.668;2997.8586;1837.1503;2990.445;1842.5056;2991.1901;1862.7671;2996.2937;1847.2163
1469800.0;2990.7209;1856.3258;2990.6318;1836.2675;3008.7836;1839.6199;2996.9597;1837.8326;2990.3815;1842.373;2990.9905;1862.9686;2996.2908;1847.2381
